proxy_zip,school,year,annual_change_pct,fhfa_hpi_native_base,fhfa_hpi_1990_base,fhfa_hpi_2000_base,index_2022_eq_100,cumulative_growth_since_2022_pct
92110,USD,1977,,100.0,26.01,19.91,5.905908875177978,-94.09409112482201
92110,USD,1978,20.88,120.88,31.44,24.06,7.136924537256763,-92.86307546274324
92110,USD,1979,36.71,165.25,42.99,32.89,9.756169909824393,-90.2438300901756
92110,USD,1980,-0.14,165.02,42.93,32.85,9.744304698623637,-90.25569530137636
92110,USD,1981,10.0,181.52,47.22,36.13,10.717252017085904,-89.28274798291409
92110,USD,1982,-12.48,158.86,41.32,31.62,9.379449454200286,-90.62055054579972
92110,USD,1983,17.38,186.47,48.51,37.12,11.010915994304698,-88.9890840056953
92110,USD,1984,2.58,191.28,49.76,38.08,11.295681063122922,-88.70431893687709
92110,USD,1985,5.9,202.56,52.69,40.32,11.960132890365447,-88.03986710963456
92110,USD,1986,7.67,218.1,56.73,43.41,12.876720455624108,-87.12327954437589
92110,USD,1987,7.59,234.65,61.04,46.71,13.855600379686758,-86.14439962031324
92110,USD,1988,22.28,286.93,74.64,57.12,16.943521594684384,-83.05647840531562
92110,USD,1989,24.68,357.75,93.06,71.21,21.123042240151875,-78.87695775984812
92110,USD,1990,7.46,384.42,100.0,76.52,22.69814902705268,-77.30185097294732
92110,USD,1991,-3.27,371.85,96.73,74.02,21.95657332700522,-78.04342667299477
92110,USD,1992,-1.05,367.93,95.71,73.24,21.72520170859041,-78.27479829140958
92110,USD,1993,-4.1,352.86,91.79,70.24,20.83531086853346,-79.16468913146655
92110,USD,1994,-4.49,337.03,87.67,67.09,19.90092548647366,-80.09907451352633
92110,USD,1995,-1.38,332.39,86.46,66.16,19.625059326056,-80.374940673944
92110,USD,1996,-0.01,332.35,86.46,66.16,19.625059326056,-80.374940673944
92110,USD,1997,5.05,349.15,90.82,69.5,20.615804461319414,-79.38419553868059
92110,USD,1998,10.62,386.24,100.47,76.88,22.804935927859514,-77.19506407214048
92110,USD,1999,9.22,421.86,109.74,83.97,24.908044613194114,-75.09195538680589
92110,USD,2000,19.09,502.37,130.68,100.0,29.663028001898432,-70.33697199810156
92110,USD,2001,12.32,564.29,146.79,112.32,33.31751305173232,-66.68248694826768
92110,USD,2002,16.13,655.32,170.47,130.45,38.695420028476505,-61.304579971523495
92110,USD,2003,11.41,730.11,189.92,145.33,43.109278595159,-56.890721404841
92110,USD,2004,16.83,853.01,221.89,169.8,50.36782154722354,-49.63217845277646
92110,USD,2005,20.63,1028.96,267.66,204.82,60.75581395348837,-39.24418604651163
92110,USD,2006,1.1,1040.29,270.61,207.08,61.42619838633128,-38.57380161366872
92110,USD,2007,-5.9,978.94,254.65,194.86,57.80137636449929,-42.19862363550071
92110,USD,2008,-5.8,922.2,239.89,183.57,54.45242050308495,-45.54757949691505
92110,USD,2009,-9.06,838.67,218.16,166.94,49.51945894636924,-50.48054105363076
92110,USD,2010,2.71,861.42,224.08,171.47,50.86319411485525,-49.13680588514475
92110,USD,2011,-4.72,820.79,213.51,163.38,48.46345514950166,-51.536544850498345
92110,USD,2012,0.76,827.03,215.14,164.63,48.83424299952539,-51.16575700047461
92110,USD,2013,8.43,896.79,233.28,178.51,52.95147128618889,-47.04852871381111
92110,USD,2014,9.12,978.57,254.56,194.79,57.78061224489795,-42.21938775510205
92110,USD,2015,4.22,1019.9,265.31,203.02,60.22187944945421,-39.77812055054579
92110,USD,2016,6.96,1090.85,283.76,217.14,64.41029900332225,-35.58970099667774
92110,USD,2017,7.84,1176.33,306.0,234.16,69.45894636924537,-30.541053630754632
92110,USD,2018,6.03,1247.22,324.44,248.27,73.64439962031324,-26.355600379686763
92110,USD,2019,3.32,1288.57,335.19,256.5,76.08566682486948,-23.91433317513052
92110,USD,2020,3.17,1329.36,345.81,264.62,78.49430469862364,-21.50569530137636
92110,USD,2021,7.97,1435.34,373.37,285.71,84.750237304224,-15.249762695775992
92110,USD,2022,17.99,1693.6,440.55,337.12,100.0,0.0
92110,USD,2023,12.65,1907.8,496.28,379.76,112.64831514000949,12.64831514000948
92110,USD,2024,2.86,1962.38,510.47,390.62,115.86971998101565,15.86971998101565
92115,SDSU,1975,,100.0,23.19,17.22,4.723761452789817,-95.27623854721018
92115,SDSU,1976,12.62,112.62,26.12,19.39,5.319032204970648,-94.68096779502935
92115,SDSU,1977,22.15,137.57,31.9,23.69,6.498600976573216,-93.50139902342679
92115,SDSU,1978,23.08,169.33,39.27,29.15,7.996378998189499,-92.0036210018105
92115,SDSU,1979,19.34,202.08,46.86,34.79,9.543534317221704,-90.4564656827783
92115,SDSU,1980,10.0,222.27,51.55,38.27,10.498162067262852,-89.50183793273715
92115,SDSU,1981,12.12,249.22,57.79,42.91,11.770999067317714,-88.22900093268228
92115,SDSU,1982,-15.46,210.69,48.86,36.28,9.952268612497942,-90.04773138750207
92115,SDSU,1983,13.96,240.1,55.68,41.34,11.34031930652329,-88.6596806934767
92115,SDSU,1984,3.58,248.69,57.67,42.82,11.746310418609754,-88.25368958139025
92115,SDSU,1985,6.28,264.31,61.29,45.51,12.484226696658801,-87.51577330334119
92115,SDSU,1986,4.57,276.39,64.1,47.59,13.054808800131672,-86.94519119986832
92115,SDSU,1987,8.19,299.03,69.35,51.49,14.124650244143302,-85.8753497558567
92115,SDSU,1988,15.34,344.91,79.99,59.39,16.2917649640643,-83.7082350359357
92115,SDSU,1989,15.77,399.32,92.6,68.75,18.859384429692213,-81.14061557030779
92115,SDSU,1990,7.99,431.21,100.0,74.24,20.365392000877815,-79.63460799912218
92115,SDSU,1991,0.06,431.47,100.06,74.29,20.379107916826687,-79.62089208317332
92115,SDSU,1992,-0.35,429.98,99.71,74.03,20.307785153892578,-79.69221484610742
92115,SDSU,1993,-3.92,413.1,95.8,71.13,19.512262028858284,-80.48773797114171
92115,SDSU,1994,-2.94,400.96,92.98,69.04,18.938936742195644,-81.06106325780435
92115,SDSU,1995,-4.57,382.65,88.74,65.88,18.072090854227245,-81.92790914577276
92115,SDSU,1996,-1.82,375.69,87.13,64.69,17.745652054644207,-82.2543479453558
92115,SDSU,1997,1.73,382.19,88.63,65.8,18.05014538870906,-81.94985461129095
92115,SDSU,1998,13.04,432.04,100.19,74.39,20.40653974872442,-79.59346025127559
92115,SDSU,1999,9.52,473.17,109.73,81.47,22.348713447083995,-77.651286552916
92115,SDSU,2000,22.75,580.8,134.69,100.0,27.431831897734128,-72.56816810226587
92115,SDSU,2001,13.67,660.18,153.1,113.67,31.18176331815439,-68.81823668184562
92115,SDSU,2002,17.73,777.2,180.24,133.82,36.70927744554781,-63.29072255445218
92115,SDSU,2003,13.65,883.25,204.83,152.07,41.715586766884286,-58.28441323311571
92115,SDSU,2004,22.89,1085.42,251.72,186.89,51.26735063367531,-48.73264936632469
92115,SDSU,2005,18.54,1286.62,298.37,221.53,60.76973720305041,-39.23026279694959
92115,SDSU,2006,0.96,1299.02,301.25,223.66,61.35403522247215,-38.64596477752785
92115,SDSU,2007,-4.72,1237.66,287.02,213.1,58.457233774071426,-41.542766225928574
92115,SDSU,2008,-16.9,1028.55,238.53,177.09,48.57903110769737,-51.42096889230263
92115,SDSU,2009,-10.4,921.54,213.71,158.67,43.526087672134736,-56.473912327865264
